Depmap ID,Expression Public 22Q4,Cell Line Name,Primary Disease,Lineage,Lineage Subtype
ACH-000267,0.070389328,HDLM2,Hodgkin Lymphoma,Lymphoid,Hodgkin Lymphoma
ACH-000268,0.056583528,SNU245,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000269,2.247927513,AM38,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000270,0.124328135,HPAC,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000271,0,SUDHL10,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000272,0.097610797,SLR24,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000273,0.042644337,SF539,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000274,1.769771739,HS852T,Melanoma,Skin,Melanoma
ACH-000275,0.056583528,HS834T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000276,0.310340121,HCC38,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000277,0,HCC1419,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000278,0.495695163,COV362,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000279,0.941106311,EWS502,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000280,0.275007047,SNU840,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000281,0.070389328,KP2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000282,1.673556424,NCIH1755,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000283,0.250961574,A1207,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000284,0.23878686,HS840T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000285,0,TOLEDO,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000286,0.056583528,SNU1033,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000287,0.014355293,NUDUL1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000288,1.669026766,BT549,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000289,0.757023247,SNU466,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000290,0.070389328,NCIH209,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000291,0.111031312,OV90,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000292,0.485426827,NCIH841,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000293,1.475084883,KLE,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000294,0.042644337,NB4,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000295,0,EM2,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000296,0.378511623,OUMS23,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000297,0.014355293,NCIH889,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000298,0,NCIH2029,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000299,0,HNT34,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000300,2.430285273,SLR25,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000301,0.575312331,LAMA84,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000302,0.042644337,SNU1077,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-001500,0.084064265,FLO1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000304,1.286881148,WM115,Melanoma,Skin,Melanoma
ACH-000305,0.575312331,ECGI10,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000306,0,HS688AT,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000307,0.070389328,PK1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000308,2.553360503,EFO21,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000310,2.555816155,IMR32,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000311,0.641546029,NCIH2122,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000312,2.381283373,SKNBE2,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000313,0.50589093,KMRC3,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000314,0.111031312,HCC2108,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000315,1.056583528,KARPAS422,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000316,0,SNU886,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000317,0.028569152,TUHR14TKB,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000318,0.014355293,TE10,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000319,0.150559677,MPP89,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000320,0,PSN1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000321,0.516015147,MOLM6,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000322,1.189033824,HT144,Melanoma,Skin,Melanoma
ACH-000323,0.150559677,42MGBA,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000324,0,JHOC5,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000633,0,FU97,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000326,2.622930351,JURLMK1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000327,0.014355293,NCIH1395,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000328,1.097610797,LN215,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000329,1.021479727,CCFSTTG1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000330,0,EFM19,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000331,0.014355293,ISTMES2,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000332,0,YAPC,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000333,1.286881148,JHOM2B,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000334,0,DB,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000335,0.925999419,MSTO211H,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000336,1.584962501,OCIAML3,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000337,0.933572638,NCIH3122,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000338,0.014355293,SR786,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000339,0.070389328,HCC461,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000340,0.028569152,HS870T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000341,4.481557281,SKNFI,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000342,0.333423734,CL14,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000343,0.014355293,NCIH522,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000746,0.963474124,GSS,Stomach Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000345,2.173127433,KPNRTBM1,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000346,0,JVM3,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000347,0.163498732,QGP1,Pancreatic Neuroendocrine Tumor,Pancreas,Pancreatic Neuroendocrine Tumor
ACH-000348,0.286881148,RPMI7951,Melanoma,Skin,Melanoma
ACH-000349,0.097610797,HCC1500,Breast Ductal Carcinoma In Situ,Breast,Breast Ductal Carcinoma In Situ
ACH-000350,0,COLO678,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000485,0,GSU,Stomach Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000352,0.042644337,HCC1428,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000353,0.070389328,TE15,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000354,0.495695163,CAPAN1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000355,1.718087584,NCIH82,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000847,2.40599236,HGC27,Stomach Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000357,0.748461233,JEKO1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000358,2.397802962,NCIH69,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000359,0.389566812,MG63,Osteosarcoma,Bone,Osteosarcoma
ACH-000360,0,NCIH508,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000361,0.150559677,SKHEP1,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000362,0.056583528,MOLM13,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000363,0,SKMM2,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000364,1.646162657,U2OS,Osteosarcoma,Bone,Osteosarcoma
ACH-000365,0,SUDHL4,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000366,3.447579197,SKNDZ,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000367,0,NCIH226,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000368,0.070389328,SNU1105,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000369,0,MOLM16,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000370,0.111031312,SNU626,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000371,0,RL,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000372,0.042644337,P12ICHIKAWA,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000373,0.941106311,SKM1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000374,0.333423734,HCC1143,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000375,0,G402,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000376,0.765534746,SF295,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000377,0,SNU478,Ampullary Carcinoma,Ampulla of Vater,Ampullary Carcinoma
ACH-000378,2.347665656,NCIH647,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000379,2.959770155,NCIH1781,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000380,0,KMS12BM,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000381,0,T84,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000382,1.464668267,CORL24,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000616,0.35614381,HS746T,Stomach Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000384,0.070389328,SW780,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000385,1,SKRC20,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000386,1.117695043,KG1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000387,1.304511042,TF1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000388,0.014355293,NUDHL1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000389,1.117695043,H4,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000390,0.084064265,LUDLU1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000391,1.510961919,MHHES1,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000392,0.659924558,CALU3,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000393,2.767654798,HLF,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000394,0.565597176,NCIH2081,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000395,0.495695163,NCIH520,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000396,1.077242999,J82,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000397,0.028569152,TEN,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000398,0,RI1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000399,0.028569152,NCIH2196,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000400,0,SKCO1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000401,3.624100895,COLO800,Melanoma,Skin,Melanoma
ACH-000402,0.028569152,BL70,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000403,0.201633861,NCIH747,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000404,3.288358562,K029AX,Melanoma,Skin,Melanoma
ACH-000405,1.459431619,MEC1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000406,1.839959587,U937,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000407,0.948600847,SNU685,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000408,0,TE5,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000409,1.521050737,OVSAHO,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000410,2.956056652,SAOS2,Osteosarcoma,Bone,Osteosarcoma
ACH-000411,0,769P,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000412,0.028569152,SNU1197,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000413,0.286881148,HS739T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000414,0.028569152,NCIH1944,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000415,0,BICR6,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000416,0,NCIH838,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000417,0,PANC0813,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000418,0,SW1353,Chondrosarcoma,Bone,Chondrosarcoma
ACH-000419,0.189033824,KMS28BM,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000420,0,SNU449,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000421,1.097610797,SW837,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000422,1.316145742,SNU475,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000423,1.718087584,SKMEL3,Melanoma,Skin,Melanoma
ACH-000424,1.50589093,TC71,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000425,2.528571319,UACC62,Melanoma,Skin,Melanoma
ACH-000239,0,HUG1N,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000428,0.432959407,UO31,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000429,0.22650853,A704,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000430,0,TYKNU,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000431,2.316145742,NCIH1694,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000432,0.056583528,BV173,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000433,0.659924558,CAKI1,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000434,2.90303827,NCIH1915,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000435,0.941106311,EFE184,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000436,0,OCIMY7,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000437,0.956056652,SW1088,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000438,0,LU65,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000439,0.333423734,ME1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000440,0.604071324,CA46,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000441,0.150559677,SH4,Melanoma,Skin,Melanoma
ACH-000442,0.411426246,RERFLCSQ1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000443,0.604071324,OVKATE,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000444,0.443606651,LU99,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000445,0.432959407,KNS60,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000446,3.71259578,KPNSI9S,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000447,0.028569152,NCIH2228,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000448,0.111031312,NCIH1666,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000449,1.014355293,MESSA,Uterine Sarcoma/Mesenchymal,Uterus,Uterine Sarcoma/Mesenchymal
ACH-000450,4.373648211,MELHO,Melanoma,Skin,Melanoma
ACH-000451,0.070389328,NCIH2085,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000452,1.416839742,TE8,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000453,0,MOLP2,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000454,0.378511623,HCC95,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000455,1.163498732,LN428,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000456,0.86393845,BCPAP,Poorly Differentiated Thyroid Cancer,Thyroid,Poorly Differentiated Thyroid Cancer
ACH-000457,0.014355293,CAL54,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000458,1.669026766,CJM,Melanoma,Skin,Melanoma
ACH-000459,0.070389328,TUHR10TKB,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000460,0.014355293,SNU8,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000461,0,SNU1196,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000462,1.5360529,NALM1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000463,0.250961574,NCIH460,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000464,0.014355293,CAS1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000465,3.962549023,SKMEL1,Melanoma,Skin,Melanoma
ACH-000919,0,IM95,Stomach Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000467,0.042644337,HCC56,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000468,0.59454855,PK45H,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000469,0.214124805,YH13,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000470,0.014355293,SW1463,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000471,0.555816155,LI7,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000472,0.084064265,HSC2,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000473,0,RT112,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000475,0,HUH1,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000476,0.50589093,JHH4,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000477,3.631104282,MALME3M,Melanoma,Skin,Melanoma
ACH-000478,0,SNU387,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000479,1.735522177,KNS81,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000480,0.704871964,HUH7,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000481,0,NCIH2170,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000482,0,RERFLCKJ,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000483,1.691534165,SNU182,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000484,0.084064265,VMRCRCW,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000216,0,JHESOAD1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000486,0.963474124,KU1919,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000487,2.859969548,F36P,Myelodysplastic Syndromes,Myeloid,Myelodysplastic Syndromes
ACH-000488,0.014355293,TE11,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000489,0.739848103,SW1116,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000490,0.014355293,SF767,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma
ACH-000491,0.014355293,NCIH716,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000492,1.422233001,MUTZ5,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000493,0.097610797,SNU423,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000494,0.310340121,OELE,Non-Cancerous,Ovary/Fallopian Tube,Non-Cancerous
ACH-000495,0.150559677,TUHR4TKB,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000496,0.97819563,NCIH1792,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000498,4.203201156,KO52,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000499,1.220329955,EW8,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000500,0.40053793,SNU46,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000501,0.137503524,LS123,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000502,0,TCCPAN2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000503,0.042644337,BICR16,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000504,1.298658316,SNB75,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000505,1.427606173,RKN,Leiomyosarcoma,Soft Tissue,Leiomyosarcoma
ACH-000506,0.422233001,NCIH146,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000793,0.014355293,KATOIII,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000508,2.885574364,CORL88,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000509,0.201633861,HUT78,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000510,1.214124805,NCIH1299,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000511,0.150559677,CALU1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000512,0,INA6,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000513,0,SNU1272,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000514,0.555816155,NCIH1092,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000515,2.049630768,HCC33,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000516,0.042644337,CAL78,Chondrosarcoma,Bone,Chondrosarcoma
ACH-000517,0.454175893,SNU410,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000518,0,CAL33,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000519,0,PEER,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000520,0.790772038,59M,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000521,0.847996907,NCIH2030,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000522,0.214124805,UMUC3,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000523,2.13093087,NCIH1184,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000524,2.150559677,KURAMOCHI,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000525,1.580145484,NCIH2171,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000526,0.298658316,HS821T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000527,0,OVISE,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000528,0.298658316,ABC1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000529,0.201633861,T173,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000530,0.632268215,DMS114,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000531,0.084064265,RS5,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000532,0.137503524,SNU61,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000533,0.526068812,NCIH2004RT,Rhabdoid Cancer,Kidney,Rhabdoid Cancer
ACH-000534,0,WSUDLCL2,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000535,0.056583528,BXPC3,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000536,0,BT20,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
